source_row,selection_id,View,Channel,begin_time,end_time,low_freq,high_freq,stable_id,source_stem,audio_duration_s,syllable_duration_s,frequency_box_valid,source_file
25,25,Spectrogram 1,1,9.405921273,9.705643804,0.0,14339.5,e04b965a02c6d7f9cfd1,guanyinya_2023-06-14-birdnet-13_10_11_01,11.898,0.2997225309999987,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_10_11_01.wav
26,26,Spectrogram 1,1,9.912804217,10.107972377,657.8,13352.8,d2704770387ff60d992d,guanyinya_2023-06-14-birdnet-13_10_11_01,11.898,0.1951681599999997,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_10_11_01.wav
27,27,Spectrogram 1,1,10.188130728,10.501793842,0.0,14865.7,a2f75d055a783dabc0fd,guanyinya_2023-06-14-birdnet-13_10_11_01,11.898,0.3136631139999988,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_10_11_01.wav
28,28,Spectrogram 1,1,10.635204254,10.990689117,0.0,15128.8,b73730ca7d6f1c7e839a,guanyinya_2023-06-14-birdnet-13_10_11_01,11.898,0.3554848630000009,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_10_11_01.wav
29,29,Spectrogram 1,1,11.243362181,11.436787768,328.9,13418.6,e0940b66c1619a14e3fd,guanyinya_2023-06-14-birdnet-13_10_11_01,11.898,0.1934255870000001,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_10_11_01.wav
30,30,Spectrogram 1,1,11.562253014,11.719084571,1381.3,15128.8,22e2c1be06425da8e014,guanyinya_2023-06-14-birdnet-13_10_11_01,11.898,0.1568315570000003,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_10_11_01.wav
1,1,Spectrogram 1,1,0.233083011,0.397985277,131.6,14010.6,0b1f93caf43ec37fe3ad,guanyinya_2023-06-14-birdnet-13_10_11_02,10.826208333333334,0.164902266,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_10_11_02.wav
2,2,Spectrogram 1,1,0.735717804,0.878421688,789.3,14602.6,cad64dc2e571d58da83d,guanyinya_2023-06-14-birdnet-13_10_11_02,10.826208333333334,0.142703884,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_10_11_02.wav
3,3,Spectrogram 1,1,1.048080751,1.363614895,0.0,13155.5,b907a3582cf8033eb86b,guanyinya_2023-06-14-birdnet-13_10_11_02,10.826208333333334,0.3155341439999999,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_10_11_02.wav
4,4,Spectrogram 1,1,1.560229135,1.75208658,197.3,13550.1,9324e636d595cc91cf0f,guanyinya_2023-06-14-birdnet-13_10_11_02,10.826208333333334,0.1918574450000001,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_10_11_02.wav
5,5,Spectrogram 1,1,1.936016031,2.047007941,1184.0,14931.5,eb80276255e963d601a7,guanyinya_2023-06-14-birdnet-13_10_11_02,10.826208333333334,0.1109919099999998,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_10_11_02.wav
6,6,Spectrogram 1,1,2.343514901,2.484633186,328.9,14273.7,46eeb878798b47412382,guanyinya_2023-06-14-birdnet-13_10_11_02,10.826208333333334,0.1411182850000001,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_10_11_02.wav
7,7,Spectrogram 1,1,2.768455356,2.942871215,197.3,13879.0,63690f71f5b7c795f386,guanyinya_2023-06-14-birdnet-13_10_11_02,10.826208333333334,0.1744158589999997,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_10_11_02.wav
8,8,Spectrogram 1,1,3.045935131,3.336099696,394.7,13813.2,3e4e2d915dd7d40b2a0c,guanyinya_2023-06-14-birdnet-13_10_11_02,10.826208333333334,0.290164565,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_10_11_02.wav
9,9,Spectrogram 1,1,3.481974778,3.608822675,1644.4,14273.7,e62130f67ed9625250f7,guanyinya_2023-06-14-birdnet-13_10_11_02,10.826208333333334,0.1268478969999997,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_10_11_02.wav
10,10,Spectrogram 1,1,3.819707305,3.976681578,131.6,12695.0,5c5a773caef55b83edf5,guanyinya_2023-06-14-birdnet-13_10_11_02,10.826208333333334,0.1569742729999999,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_10_11_02.wav
11,11,Spectrogram 1,1,4.216106984,4.363567664,657.8,14734.1,72781d6124b572c813ac,guanyinya_2023-06-14-birdnet-13_10_11_02,10.826208333333334,0.14746068,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_10_11_02.wav
12,12,Spectrogram 1,1,4.696543395,4.855103266,394.7,13221.3,03d370ec84a73dd9b446,guanyinya_2023-06-14-birdnet-13_10_11_02,10.826208333333334,0.1585598710000004,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_10_11_02.wav
13,13,Spectrogram 1,1,5.026347927,5.167466213,789.3,15391.9,5fdb5cde70757cf9ef79,guanyinya_2023-06-14-birdnet-13_10_11_02,10.826208333333334,0.1411182860000002,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_10_11_02.wav
14,14,Spectrogram 1,1,5.352981263,5.641560229,394.7,12695.0,a3573ebf5986cb8044e8,guanyinya_2023-06-14-birdnet-13_10_11_02,10.826208333333334,0.2885789660000002,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_10_11_02.wav
