file,kind,source,base_recording,site,region,year,src_path
shuanghe_2023-05-21-birdnet-10_33_26_01.wav,manual,manual_2person,shuanghe_2023-05-21-birdnet-10_33_26,shuanghe,polluted,2023,birdsongs/wav_manul_seg_final_bandpass/shuanghe_2023-05-21-birdnet-10_33_26_01.wav
shuanghe_2023-05-21-birdnet-10_33_56_01_01.wav,manual,manual_2person,shuanghe_2023-05-21-birdnet-10_33_56,shuanghe,polluted,2023,birdsongs/wav_manul_seg_final_bandpass/shuanghe_2023-05-21-birdnet-10_33_56_01_01.wav
shuanghe_2023-05-21-birdnet-10_33_56_01_02.wav,manual,manual_2person,shuanghe_2023-05-21-birdnet-10_33_56,shuanghe,polluted,2023,birdsongs/wav_manul_seg_final_bandpass/shuanghe_2023-05-21-birdnet-10_33_56_01_02.wav
shuanghe_2024-06-29-birdnet-11_21_55_01.wav,manual,manual_2person,shuanghe_2024-06-29-birdnet-11_21_55,shuanghe,polluted,2024,birdsongs/wav_manul_seg_final_bandpass/shuanghe_2024-06-29-birdnet-11_21_55_01.wav
shuanghe_2024-07-02-birdnet-11_02_46.wav,manual,manual_2person,shuanghe_2024-07-02-birdnet-11_02_46,shuanghe,polluted,2024,birdsongs/wav_manul_seg_final_bandpass/shuanghe_2024-07-02-birdnet-11_02_46.wav
yongxing_2023-05-17-birdnet-16_01_54__bout_015.wav,pipeline,2023_strongbout,yongxing_2023-05-17-birdnet-16_01_54,yongxing,polluted,2023,tmp/test_knn_2023/song_selection/listen_strongbout_noclass_song/yongxing_2023-05-17-birdnet-16_01_54__bout_015.wav
yongxing_2023-05-18-birdnet-11_55_35_01.wav,manual,manual_2person,yongxing_2023-05-18-birdnet-11_55_35,yongxing,polluted,2023,birdsongs/wav_manul_seg_final_bandpass/yongxing_2023-05-18-birdnet-11_55_35_01.wav
yongxing_2023-05-30-birdnet-06_29_11__bout_016.wav,pipeline,2023_strongbout,yongxing_2023-05-30-birdnet-06_29_11,yongxing,polluted,2023,tmp/test_knn_2023/song_selection/listen_strongbout_noclass_song/yongxing_2023-05-30-birdnet-06_29_11__bout_016.wav
yongxing_2023-06-14-birdnet-12_10_23_01.wav,manual,manual_2person,yongxing_2023-06-14-birdnet-12_10_23,yongxing,polluted,2023,birdsongs/wav_manul_seg_final_bandpass/yongxing_2023-06-14-birdnet-12_10_23_01.wav
yongxing_2023-07-08-birdnet-16_25_43_01.wav,manual,manual_2person,yongxing_2023-07-08-birdnet-16_25_43,yongxing,polluted,2023,birdsongs/wav_manul_seg_final_bandpass/yongxing_2023-07-08-birdnet-16_25_43_01.wav
